float adds,float mult,float div,float comp,float total only math,float total with comp,QRSdet runtime,QRSfilt runtime,Classify runtime,total runtime,performance,performance (w/ comp)
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2938904.0,473228.0,440704.0,5922428.0,0.09382,0.106589
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3017560.0,549952.0,441108.0,6003460.0,0.092554,0.105151
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2942088.0,473884.0,466500.0,6029272.0,0.092158,0.1047
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2992084.0,523424.0,494896.0,6039648.0,0.091999,0.10452
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,4655194.0,811506.0,718102.0,9349870.0,0.059428,0.067516
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3207952.0,507994.0,465042.0,6475186.0,0.085811,0.09749
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,6118968.0,968680.0,908366.0,12275376.0,0.045265,0.051425
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2941356.0,473920.0,438668.0,5921832.0,0.09383,0.1066
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2942072.0,473696.0,441684.0,5954780.0,0.09331,0.10601
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,5785162.0,917972.0,935144.0,11703906.0,0.047475,0.053936
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2938924.0,473596.0,437664.0,5920336.0,0.093853,0.106627
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,6097566.0,984071.0,933318.0,12219349.0,0.045472,0.051661
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2934948.0,471616.0,434704.0,5908288.0,0.094045,0.106844
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,5878040.0,946632.0,877208.0,11887912.0,0.04674,0.053102
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2943092.0,475356.0,452280.0,5935012.0,0.093621,0.106363
