float adds,float mult,float div,float comp,float total only math,float total with comp,QRSdet runtime,QRSfilt runtime,Classify runtime,total runtime,performance,performance (w/ comp)
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3016840.0,473132.0,439676.0,6006748.0,0.092503,0.105093
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2937188.0,471764.0,441444.0,6001996.0,0.092576,0.105176
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3070600.0,548612.0,444244.0,6161668.0,0.090177,0.102451
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3064908.0,548876.0,441372.0,6122068.0,0.090761,0.103113
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2943476.0,474580.0,437012.0,5922828.0,0.093814,0.106582
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3023104.0,533656.0,440208.0,6011200.0,0.092435,0.105015
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2941224.0,473940.0,440336.0,5980868.0,0.092903,0.105548
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2945248.0,473308.0,444304.0,6103860.0,0.091031,0.103421
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3018116.0,473952.0,487988.0,6107272.0,0.090981,0.103363
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2992548.0,525396.0,438604.0,5981884.0,0.092888,0.10553
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3068388.0,473372.0,444688.0,6113532.0,0.090887,0.103257
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3074156.0,475216.0,445036.0,6119588.0,0.090797,0.103155
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2942200.0,475208.0,440376.0,5933072.0,0.093652,0.106398
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2997672.0,473580.0,435964.0,5975752.0,0.092983,0.105638
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2983476.0,513492.0,438160.0,6020720.0,0.092288,0.104849
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2940840.0,472672.0,440916.0,5926812.0,0.093751,0.10651
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2943164.0,472000.0,442664.0,6082328.0,0.091354,0.103787
